"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price NZD"
"1","5","1490-1062-ND","NRF52810-QCAA-T","IC RF TXRX+MCU BLUETOOTH 32WFQFN","","5","0","5.30000","26.50"
"2","35","490-7998-1-ND","GCM155R71C104KA55J","CAP CER 0.1UF 16V X7R 0402","","35","0","0.08900","3.12"
"3","10","311-1024-1-ND","CC0402JRNPO9BN101","CAP CER 100PF 50V C0G/NPO 0402","","10","0","0.03200","0.32"
"4","20","311-1446-1-ND","CC0603KRX7R7BB105","CAP CER 1UF 16V X7R 0603","","20","0","0.14000","2.80"
"5","25","311-3609-1-ND","CC0402GRNPO9BN120","CAP CER 12PF 50V NPO 0402","","25","0","0.08100","2.03"
"6","5","490-XRCGB32M000FXH2CR0CT-ND","XRCGB32M000FXH2CR0","CRYSTAL 32.0000MHZ 8PF SMD","","5","0","0.74000","3.70"
"7","5","CKN10503CT-ND","PTS810 SJK 250 SMTR LFS","SWITCH TACTILE SPST-NO 0.05A 16V","","5","0","0.54000","2.70"
"8","5","754-2143-1-ND","APHF1608LSEEQBDZGKC","LED RGB CLEAR 4SMD","","5","0","1.28000","6.40"
"9","20","311-330LRCT-ND","RC0402FR-07330RL","RES SMD 330 OHM 1% 1/16W 0402","","20","0","0.02400","0.48"
"10","20","311-820LRCT-ND","RC0402FR-07820RL","RES SMD 820 OHM 1% 1/16W 0402","","20","0","0.02400","0.48"
"11","6","TC1015-3.3VCT713CT-ND","TC1015-3.3VCT713","IC REG LINEAR 3.3V 100MA SOT23-5","","6","0","0.61000","3.66"
"12","10","732-7499-1-ND","885012205004","CAP CER 470PF 10V X7R 0402","","10","0","0.02400","0.24"
"13","5","609-5379-1-ND","10118192-0002LF","CONN RCPT USB2.0 MICRO B SMD R/A","","5","0","0.71000","3.55"
"14","20","490-10884-1-ND","GRJ188C70J475KE11D","CAP CER 4.7UF 6.3V X7S 0603","","20","0","0.35900","7.18"
"15","6","MCP73831T-2ACI/OTCT-ND","MCP73831T-2ACI/OT","IC CONTROLLR LI-ION 4.2V SOT23-5","","6","0","0.94000","5.64"
"16","6","475-3112-1-ND","LB QH9G-N1OO-35-1","LED BLUE DIFFUSED 0402 SMD","","6","0","0.71000","4.26"
"17","20","311-10.0KLRCT-ND","RC0402FR-0710KL","RES SMD 10K OHM 1% 1/16W 0402","","20","0","0.02400","0.48"
"18","20","311-1.20KLRCT-ND","RC0402FR-071K2L","RES SMD 1.2K OHM 1% 1/16W 0402","","20","0","0.02400","0.48"
"19","10","490-11253-1-ND","GJM1555C1HR80WB01D","CAP CER 0.8PF 50V C0G/NP0 0402","","10","0","0.27300","2.73"
"20","10","1276-1045-1-ND","CL10A475KQ8NNNC","CAP CER 4.7UF 6.3V X5R 0603","","10","0","0.06900","0.69"
"21","5","CW100505-3N9JCT-ND","CW100505-3N9J","FIXED IND 3.9NH 840MA 66MOHM SMD","","5","0","0.52000","2.60"
"22","5","644-1155-1-ND","NX3215SA-32.768K-STD-MUA-9","CRYSTAL 32.7680KHZ 9PF SMD","","5","0","1.20000","6.00"
"23","10","587-3292-1-ND","BKP1005EM331-T","FERRITE BEAD 330 OHM 0402 1LN","","10","0","0.09300","0.93"